result,table,_time,custom_group,month,uid,workday,year,year_week,activity_act_mlc,activity_actigraph,activity_calorie,activity_steps,health_T,health_hr_mean,health_hrv_mean,health_spo2_100,health_stress,sleep_ahi,sleep_hr_mean,sleep_hrv_mean,sleep_respiration,sleep_sleep,sleep_sleep_1min,sleep_stage,sleep_stage_1min,user_valid,user_wear,utc_offset_mins
_result,3,2026-02-11 09:45:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1608,14,396,32.0625,70.03,37,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 09:50:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1494,3,94,32.8125,68.62,34.3333333333,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 09:55:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1487,1,46,33.125,67.21,31.6666666667,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:00:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,953,0,0,33.8125,65.8,29,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:05:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,896,0,0,33.4375,65.33,29.1666666667,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:10:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1466,0,0,34.125,64.86,29.3333333333,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:15:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1418,1,29,33,64.39,29.5,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:20:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1348,4,125,32.75,63.92,29.6666666667,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:25:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1323,0,22,33.5,63.45,29.8333333333,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:30:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1356,2,56,33.9375,62.98,30,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:35:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1415,3,87,32.5625,62.51,30.1666666667,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:40:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1014,0,21,34.3125,62.04,30.3333333333,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:45:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1699,3,101,32,61.57,30.5,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:50:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1626,8,233,32,61.1,30.6666666667,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 10:55:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,964,0,0,33.6875,60.63,30.8333333333,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:00:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1479,9,266,32.5,60.16,31,99,56,,,,,,,,,1,1,540
_result,3,2026-02-11 11:05:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1552,1,46,32.25,59.1025,31.25,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:10:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1498,1,35,32,58.045,31.5,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:15:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1584,6,177,31.75,56.9875,31.75,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:20:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1541,5,154,31.5,55.93,32,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:25:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1387,4,121,31.25,54.8725,32.25,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:30:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1198,0,0,31,53.815,32.5,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:35:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,997,0,0,32.4375,52.7575,32.75,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:40:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1320,2,57,31.125,51.7,33,99,86,,,,,,,,,1,1,540
_result,3,2026-02-11 11:45:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1531,2,58,30.84375,51.7,37.6666666667,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 11:50:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,962,0,0,30.5625,51.7,42.3333333333,99,45,,,,,,,,,1,1,540
_result,3,2026-02-11 11:55:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1024,0,0,31.25,51.7,47,99,40,,,,,,,,,1,1,540
_result,3,2026-02-11 12:00:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1412,0,0,32.5,52.64,61,99,62,,,,,,,,,1,1,540
_result,3,2026-02-11 12:05:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1111,0,20,32.5625,52.9533333333,52.3333333333,99,36,,,,,,,,,1,1,540
_result,3,2026-02-11 12:10:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1344,0,0,32.25,53.2666666667,43.6666666667,99,44,,,,,,,,,1,1,540
_result,3,2026-02-11 12:15:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1210,0,24,32.25,53.58,35,99,60,,,,,,,,,1,1,540
_result,3,2026-02-11 12:20:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1180,0,0,32.625,55.46,36.5,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 12:25:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1170,0,0,32.4375,57.34,38,99,52,,,,,,,,,1,1,540
_result,3,2026-02-11 12:30:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1634,1,43,33.3125,56.4,69,99,52,,,,,,,,,1,1,540
_result,3,2026-02-11 12:35:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1417,1,49,32.9375,60.0033333333,60.8333333333,99,27,,,,,,,,,1,1,540
_result,3,2026-02-11 12:40:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1190,1,32,32.5,63.6066666667,52.6666666667,99,35,,,,,,,,,1,1,540
_result,3,2026-02-11 12:45:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,971,3,99,32.625,67.21,44.5,99,43,,,,,,,,,1,1,540
_result,3,2026-02-11 12:50:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1443,6,169,32.3125,70.8133333333,36.3333333333,99,48,,,,,,,,,1,1,540
_result,3,2026-02-11 12:55:00+00:00,normal_0,2,mGcFj8TAAbcBRlxVNH50IG3UAkQ2,1,2026,2026_07,0,1191,0,0,39.1875,74.4166666667,28.1666666667,99,48,,,,,,,,,1,1,540
